Date,Strategy,Turnover,Transaction Cost
2018-11-01,Risk Parity,0.0058443599023794285,2.922179951189714e-06
2018-12-03,Equal Weight,0.0,0.0
2018-12-03,Maximum Diversification,0.009811594711089552,4.9057973555447755e-06
2018-12-03,Maximum Sharpe,0.25731031835588114,0.00012865515917794058
2018-12-03,Minimum Volatility,0.020377670445787106,1.0188835222893553e-05
2018-12-03,Risk Parity,0.010061639748008111,5.030819874004056e-06
2019-01-01,Equal Weight,0.0,0.0
2019-01-01,Maximum Diversification,0.02510165212757133,1.2550826063785665e-05
2019-01-01,Maximum Sharpe,0.30217954175475303,0.00015108977087737653
2019-01-01,Minimum Volatility,0.0383620880846692,1.91810440423346e-05
2019-01-01,Risk Parity,0.006286629445801051,3.1433147229005255e-06
2019-02-01,Equal Weight,0.0,0.0
2019-02-01,Maximum Diversification,0.019106557365344095,9.553278682672047e-06
2019-02-01,Maximum Sharpe,0.03496363298281144,1.748181649140572e-05
2019-02-01,Minimum Volatility,0.02839929617139307,1.4199648085696536e-05
2019-02-01,Risk Parity,0.011882541817654954,5.941270908827477e-06
2019-03-01,Equal Weight,0.0,0.0
2019-03-01,Maximum Diversification,0.02365749444098699,1.1828747220493495e-05
2019-03-01,Maximum Sharpe,0.07776344525142473,3.888172262571236e-05
2019-03-01,Minimum Volatility,0.023546236321946072,1.1773118160973037e-05
2019-03-01,Risk Parity,0.005584762096951731,2.7923810484758657e-06
2019-04-01,Equal Weight,0.0,0.0
2019-04-01,Maximum Diversification,0.015830291357733704,7.915145678866852e-06
2019-04-01,Maximum Sharpe,0.03892539628582974,1.9462698142914872e-05
2019-04-01,Minimum Volatility,0.016107555100601557,8.05377755030078e-06
2019-04-01,Risk Parity,0.004473123677942378,2.236561838971189e-06
2019-05-01,Equal Weight,0.0,0.0
2019-05-01,Maximum Diversification,0.041116174330020835,2.0558087165010417e-05
2019-05-01,Maximum Sharpe,0.09953548907233456,4.976774453616728e-05
2019-05-01,Minimum Volatility,0.03300792452597482,1.6503962262987412e-05
2019-05-01,Risk Parity,0.006546289165223207,3.2731445826116037e-06
2019-06-03,Equal Weight,0.0,0.0
2019-06-03,Maximum Diversification,0.02644296543924394,1.322148271962197e-05
2019-06-03,Maximum Sharpe,0.1325576125710936,6.627880628554681e-05
2019-06-03,Minimum Volatility,0.01477307179269567,7.386535896347835e-06
2019-06-03,Risk Parity,0.0027928438554614687,1.3964219277307344e-06
2019-07-01,Equal Weight,0.0,0.0
2019-07-01,Maximum Diversification,0.022318659599148305,1.1159329799574153e-05
2019-07-01,Maximum Sharpe,0.06200108381952553,3.1000541909762765e-05
2019-07-01,Minimum Volatility,0.016118149998869152,8.059074999434577e-06
2019-07-01,Risk Parity,0.0077795277128251406,3.88976385641257e-06
2019-08-01,Equal Weight,0.0,0.0
2019-08-01,Maximum Diversification,0.02634946563464953,1.3174732817324764e-05
2019-08-01,Maximum Sharpe,0.012274826212381192,6.137413106190596e-06
2019-08-01,Minimum Volatility,0.02408418516380395,1.2042092581901976e-05
2019-08-01,Risk Parity,0.005122172959430904,2.561086479715452e-06
2019-09-02,Equal Weight,0.0,0.0
2019-09-02,Maximum Diversification,0.040517775362911394,2.0258887681455697e-05
2019-09-02,Maximum Sharpe,0.004378555937398471,2.1892779686992355e-06
2019-09-02,Minimum Volatility,0.044990960572842936,2.2495480286421467e-05
2019-09-02,Risk Parity,0.013312989466969169,6.656494733484585e-06
2019-10-01,Equal Weight,0.0,0.0
2019-10-01,Maximum Diversification,0.02397363400070365,1.1986817000351825e-05
2019-10-01,Maximum Sharpe,0.07909827616803683,3.954913808401842e-05
2019-10-01,Minimum Volatility,0.014168047025403085,7.084023512701543e-06
2019-10-01,Risk Parity,0.007683107811741072,3.841553905870536e-06
2019-11-01,Equal Weight,0.0,0.0
2019-11-01,Maximum Diversification,0.01514566923461479,7.572834617307395e-06
2019-11-01,Maximum Sharpe,0.0034194847259216288,1.7097423629608145e-06
2019-11-01,Minimum Volatility,0.007256772440378527,3.6283862201892634e-06
2019-11-01,Risk Parity,0.007219985829812481,3.6099929149062406e-06
2019-12-02,Equal Weight,0.0,0.0
2019-12-02,Maximum Diversification,0.02915548236129477,1.4577741180647384e-05
2019-12-02,Maximum Sharpe,0.021694090242876912,1.0847045121438456e-05
2019-12-02,Minimum Volatility,0.026507285268527817,1.3253642634263908e-05
2019-12-02,Risk Parity,0.004919670752519978,2.459835376259989e-06
2020-01-01,Equal Weight,0.0,0.0
2020-01-01,Maximum Diversification,0.018317386012198275,9.158693006099137e-06
2020-01-01,Maximum Sharpe,0.0069991042978699985,3.4995521489349994e-06
2020-01-01,Minimum Volatility,0.007032751440099828,3.5163757200499143e-06
2020-01-01,Risk Parity,0.0017101777909233756,8.550888954616878e-07
2020-02-03,Equal Weight,0.0,0.0
2020-02-03,Maximum Diversification,0.023241656159123783,1.1620828079561892e-05
2020-02-03,Maximum Sharpe,0.028054834111079355,1.4027417055539678e-05
2020-02-03,Minimum Volatility,0.025735793612175633,1.2867896806087817e-05
2020-02-03,Risk Parity,0.008834870453233334,4.417435226616667e-06
2020-03-02,Equal Weight,0.0,0.0
2020-03-02,Maximum Diversification,0.02648936753868155,1.3244683769340775e-05
2020-03-02,Maximum Sharpe,0.05197116339434847,2.5985581697174237e-05
2020-03-02,Minimum Volatility,0.01448393986771147,7.241969933855735e-06
2020-03-02,Risk Parity,0.009437182604308855,4.718591302154428e-06
2020-04-01,Equal Weight,0.0,0.0
2020-04-01,Maximum Diversification,0.02373277116792582,1.1866385583962909e-05
2020-04-01,Maximum Sharpe,0.05389631909907547,2.6948159549537736e-05
2020-04-01,Minimum Volatility,0.028534066837326642,1.4267033418663321e-05
2020-04-01,Risk Parity,0.00560689139479606,2.80344569739803e-06
2020-05-01,Equal Weight,0.0,0.0
2020-05-01,Maximum Diversification,0.01856867792289591,9.284338961447956e-06
2020-05-01,Maximum Sharpe,0.061995542818253466,3.0997771409126736e-05
2020-05-01,Minimum Volatility,0.013147837243605628,6.573918621802814e-06
2020-05-01,Risk Parity,0.004355497197625041,2.177748598812521e-06
2020-06-01,Equal Weight,0.0,0.0
2020-06-01,Maximum Diversification,0.00793096037783017,3.965480188915085e-06
2020-06-01,Maximum Sharpe,0.011020671465830897,5.510335732915449e-06
2020-06-01,Minimum Volatility,0.010790884263001599,5.3954421315007994e-06
2020-06-01,Risk Parity,0.0038070486962853284,1.9035243481426642e-06
2020-07-01,Equal Weight,0.0,0.0
2020-07-01,Maximum Diversification,0.018340820180108908,9.170410090054454e-06
2020-07-01,Maximum Sharpe,0.04231011662383925,2.1155058311919627e-05
2020-07-01,Minimum Volatility,0.017137757686163296,8.568878843081649e-06
2020-07-01,Risk Parity,0.003049957684031948,1.5249788420159741e-06
2020-08-03,Equal Weight,0.0,0.0
2020-08-03,Maximum Diversification,0.035619132906377735,1.7809566453188868e-05
2020-08-03,Maximum Sharpe,0.01460096965073427,7.3004848253671356e-06
2020-08-03,Minimum Volatility,0.023977082885097416,1.1988541442548709e-05
2020-08-03,Risk Parity,0.008290312248526166,4.145156124263083e-06
2020-09-01,Equal Weight,0.0,0.0
2020-09-01,Maximum Diversification,0.026807105719883137,1.3403552859941569e-05
2020-09-01,Maximum Sharpe,0.09536882281252701,4.768441140626351e-05
2020-09-01,Minimum Volatility,0.02320850000342433,1.1604250001712165e-05
2020-09-01,Risk Parity,0.006209511716956287,3.1047558584781434e-06
2020-10-01,Equal Weight,0.0,0.0
2020-10-01,Maximum Diversification,0.019376822138652376,9.688411069326188e-06
2020-10-01,Maximum Sharpe,0.013469499391490142,6.734749695745071e-06
2020-10-01,Minimum Volatility,0.007827121549797034,3.913560774898517e-06
2020-10-01,Risk Parity,0.0054530443759255864,2.7265221879627933e-06
2020-11-02,Equal Weight,0.0,0.0
2020-11-02,Maximum Diversification,0.02219780518558776,1.109890259279388e-05
2020-11-02,Maximum Sharpe,0.019440066155339608,9.720033077669805e-06
